Log Matlab com RI-PMI-CQI

>> EndToEndCSIFeedback
Number of CSI-RS ports: 8.

Simulating transmission scheme 1 (8x4) and SCS=15kHz with CDL-C channel at -5dB SNR for 20 10ms frame(s)
Using RI, PMI, and CQI as CSI feedback.

( 0.50%) NSlot= 0: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.350). Using initial CSI. CSI-RS transmission. 
(95.50%) NSlot=190: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.350). CSI-RS transmission. 
(96.00%) NSlot=191: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(96.50%) NSlot=192: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321). Using CSI from NSlot=180.
(97.00%) NSlot=193: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(97.50%) NSlot=194: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(98.00%) NSlot=195: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(98.50%) NSlot=196: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(99.00%) NSlot=197: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(99.50%) NSlot=198: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(100.00%) NSlot=199: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).

Throughput(Mbps) for 20 frame(s) = 12.8080

Simulating transmission scheme 1 (8x4) and SCS=15kHz with CDL-C channel at 0dB SNR for 20 10ms frame(s)
Using RI, PMI, and CQI as CSI feedback.

( 0.50%) NSlot= 0: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.438). Using initial CSI. CSI-RS transmission. 
( 1.00%) NSlot= 1: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402).
( 1.50%) NSlot= 2: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402).
( 2.00%) NSlot= 3: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402).
( 2.50%) NSlot= 4: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402).
( 3.00%) NSlot= 5: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402).
( 3.50%) NSlot= 6: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402).
( 4.00%) NSlot= 7: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402).
( 4.50%) NSlot= 8: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402).
( 5.00%) NSlot= 9: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402).
( 5.50%) NSlot=10: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.438). CSI-RS transmission. 
( 6.00%) NSlot=11: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402).
( 6.50%) NSlot=12: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402). Using CSI from NSlot= 0.
( 7.00%) NSlot=13: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402).
( 7.50%) NSlot=14: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402).
( 8.00%) NSlot=15: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402).
( 8.50%) NSlot=16: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402).
( 9.00%) NSlot=17: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402).
( 9.50%) NSlot=18: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402).
(10.00%) NSlot=19: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402).
(10.50%) NSlot=20: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.438). CSI-RS transmission. 
(11.00%) NSlot=21: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402).
(11.50%) NSlot=22: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402). Using CSI from NSlot=10.
(12.00%) NSlot=23: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402).
(12.50%) NSlot=24: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402).
(13.00%) NSlot=25: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402).
(13.50%) NSlot=26: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402).
(14.00%) NSlot=27: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402).
(14.50%) NSlot=28: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402).
(15.00%) NSlot=29: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402).
(15.50%) NSlot=30: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.438). CSI-RS transmission. 
(16.00%) NSlot=31: Transmission succeeded (Layers=2, Mod=64QAM, TCR=0.455, CR=0.402).
